Reference, Value, Footprint, Datasheet
"J2","Solar panel","",""
"J3","Battery","",""
"R2","100K","",""
"R6","15K","",""
"C3","100nF","",""
"C1.1","100uF","",""
"C1.3","100uF","",""
"C1.5","100uF","",""
"C1.7","100uF","",""
"U1","ACS712module","",""
"F1","Fuse_20A","",""
"BT1","Battery_FLA_+12V_120AH","",""
"J1","LOAD","",""
"D8","1N4148","",""
"U4","DS18B20","",""
"J5","Temperature","",""
"D2","P6KE47CA","",""
"R1","100K","",""
"R8","10K","",""
"Q4","2N3904","",""
"R14","100K","",""
"R15","10K","",""
"Q9","2N3904","",""
"U5","ACS712module","",""
"R13","100K","",""
"R16","47K","",""
"U8","MP2307_DC-DC_module","",""
"C5","100nF","",""
"U9","LCDSerial2004","",""
"SW1","Backlight control","",""
"R17","10K","",""
"Q8","IRF4905","TO_SOT_Packages_THT:TO-220_Vertical",""
"J6","SD_Micro_5V","",""
"U7","DS1307_RTC","",""
"U6","DS18B20","",""
"J7","Screw_Terminal_01x03","",""
"D10","GREEN LED","",""
"D11","RED LED","",""
"R18","470","",""
"R19","470","",""
"U10","ATMEGA328-PU","DIL28",""
"D9","2W01G","",""
"J4","Screw_Terminal_01x03","",""
"C3.1","100uF","",""
"C3.2","100uF","",""
"R5","100K","",""
"Q7","2N3904","",""
"R12","10K","",""
"D1","12V Zener","",""
"R3","10K","",""
"R11","47K","",""
"C1","10uF","",""
"R9","10K","",""
"Q5","2N3904","",""
"D3","1N4148","",""
"Q2","IRF4905","TO-220",""
"Q1","IRF4905","TO-220",""
"T1","Mains Transformer","",""
"L1","31 turns 6*1mm T130 toroid","",""
"Q3","IRF4905","TO-220",""
"Q6","IRF4905","TO-220",""
"D4","MBR2045","",""
"D5","MBR2045","",""
"D6","MBR2045","",""
"D7","MBR2045","",""
"C2","0.1uF","",""
"R4","180","",""
"C2.1","100uF","",""
"C2.2","100uF","",""
"C1.2","100uF","",""
"C1.4","100uF","",""
"C1.6","100uF","",""
"C1.8","100uF","",""
"U2","IR2110","",""
"R7","5R","",""
"U3","IR2110","",""
"R10","5R","",""
"C4","C","",""
"C6","C","",""
"SW2","RESET","",""
"R20","1K","",""
"J8","USB_B","",""
"R21","220","",""
"R22","220","",""
